Year,Month,Day,Hour,Temp,DewTemp,Pressure,WindDir,WindSpeed,Sky,Precip1,Precip6
1912,7,29,6,280,225,10052,240,72,0,-9999,0
1912,7,29,9,294,240,10060,260,98,1,-9999,-9999
1912,7,29,12,-9999,-9999,-9999,-9999,-9999,0,-9999,0
1912,7,30,6,272,212,10064,240,98,3,-9999,0
1912,7,30,9,282,214,10065,240,87,-9999,-9999,-9999
1912,7,30,12,288,218,10062,240,98,2,-9999,0
1912,7,30,15,280,221,10054,240,82,0,-9999,-9999
1912,7,31,6,286,212,10069,240,72,2,-9999,0
1912,7,31,12,288,218,10049,240,82,1,-9999,0
1912,7,31,15,282,207,10041,240,129,1,-9999,-9999
1912,8,1,6,266,196,10052,240,118,2,-9999,0
1912,8,1,12,280,200,-9999,-9999,-9999,3,-9999,0
1912,8,2,9,282,221,10074,240,98,1,-9999,-9999
1912,8,3,6,264,220,10080,20,247,1,-9999,0
1912,8,3,12,290,245,10080,220,82,1,-9999,0
1912,8,3,15,288,234,10076,220,62,1,-9999,-9999
1912,8,4,6,266,212,10078,360,21,0,-9999,0
1912,8,4,9,288,230,10077,240,51,1,-9999,-9999
1912,8,4,12,292,237,10074,240,72,1,-9999,0
1912,8,4,15,286,244,10070,240,41,1,-9999,-9999
1912,8,5,12,292,241,10072,240,98,1,-9999,0
1912,8,5,15,280,240,10072,240,72,1,-9999,-9999
1912,8,6,6,268,211,10080,360,21,0,-9999,0
1912,8,6,9,294,228,10085,240,118,0,-9999,-9999
1912,8,6,12,310,202,10081,220,62,1,-9999,0
1912,8,7,6,272,193,10089,40,21,0,-9999,0
1912,8,7,9,280,-9999,10089,-9999,-9999,0,-9999,-9999
1912,8,8,6,262,224,10113,240,21,1,-9999,0
1912,8,8,12,290,245,10112,240,62,0,-9999,0
1912,8,8,15,280,240,10106,240,51,0,-9999,-9999
1912,8,9,6,268,230,10108,360,10,0,-9999,0
1912,8,9,9,290,238,10104,240,72,0,-9999,-9999
1912,8,9,12,286,247,10093,240,72,1,-9999,0
1912,8,9,15,184,-9999,10084,240,72,1,-9999,-9999
1912,8,10,6,262,218,10085,240,21,2,-9999,0
1912,8,10,9,282,236,10086,240,82,1,-9999,-9999
1912,8,11,6,268,230,10080,240,10,1,-9999,0
1912,8,11,15,286,247,10074,240,41,0,-9999,-9999
1912,8,12,6,266,240,10088,360,10,0,-9999,0
1912,8,12,9,286,252,10092,220,41,0,-9999,-9999
1912,8,12,12,266,-9999,10088,-9999,-9999,0,-9999,0
1912,8,12,15,286,249,10081,220,31,1,-9999,-9999
1912,8,13,12,296,248,10080,240,62,0,-9999,0
1912,8,13,15,288,254,10074,240,62,0,-9999,-9999
1912,8,14,0,188,141,10074,0,0,0,-9999,0
1912,8,14,6,270,236,10084,240,21,0,-9999,0
1912,8,14,9,290,253,10085,240,41,0,-9999,-9999
1912,8,14,12,298,256,10082,240,41,0,-9999,0
1912,8,15,6,272,228,10082,360,10,0,-9999,0
1912,8,15,12,300,258,10071,260,26,0,-9999,0
1912,8,15,15,298,254,10058,260,21,0,-9999,-9999
1912,8,16,6,280,261,10058,220,21,6,-9999,0
1912,8,16,9,296,260,10064,220,51,1,-9999,-9999
1912,8,16,12,302,264,10052,240,31,0,-9999,0
1912,8,16,15,296,266,10041,260,41,0,-9999,-9999
1912,8,17,3,194,127,10051,0,0,4,-9999,-9999
1912,8,17,6,280,249,10050,40,21,0,-9999,0
1912,8,17,9,294,261,10057,220,62,7,-9999,-9999
1912,8,17,15,296,263,10049,240,41,0,-9999,-9999
1912,8,18,6,272,232,10066,220,41,5,-9999,0
1912,8,18,9,286,234,10070,260,41,6,-9999,-9999
1912,8,18,12,294,245,10065,240,41,6,-9999,0
1912,8,19,5,290,232,-9999,240,62,0,-9999,-9999
1912,8,19,9,290,232,10070,240,62,0,-9999,-9999
1912,8,19,12,296,236,10070,240,72,1,-9999,0
1912,8,19,15,284,238,10064,220,62,0,-9999,-9999
1912,8,20,6,280,221,10081,220,31,0,-9999,0
1912,8,20,9,290,242,10089,240,62,1,-9999,-9999
1912,8,20,12,294,246,10084,260,51,3,-9999,0
1912,8,20,15,290,245,10081,240,41,3,-9999,-9999
1912,8,21,6,272,238,10093,40,31,1,-9999,0
1912,8,21,9,286,244,10097,320,31,1,-9999,-9999
1912,8,22,6,276,245,10090,240,10,1,-9999,0
1912,8,22,9,296,251,10096,240,41,1,-9999,-9999
1912,8,22,12,298,250,10082,240,41,0,-9999,0
1912,8,22,15,294,252,10076,240,51,0,-9999,-9999
1912,8,23,6,272,243,10076,220,21,1,-9999,0
1912,8,23,9,300,243,10078,240,62,1,-9999,-9999
1912,8,23,12,306,256,10072,240,72,1,-9999,0
1912,8,24,6,272,222,10068,40,41,1,-9999,0
1912,8,24,9,302,248,10070,240,51,1,-9999,-9999
1912,8,24,12,302,248,10061,260,72,0,-9999,0
1912,8,24,15,290,251,10058,240,62,0,-9999,-9999
1912,8,25,6,272,225,10070,40,10,1,-9999,0
1912,8,25,12,300,234,10070,260,82,1,-9999,0
1912,8,25,15,292,237,10070,240,82,1,-9999,-9999
1912,8,26,6,266,231,10077,260,10,5,-9999,0
1912,8,26,9,294,236,10078,240,62,1,-9999,-9999
1912,8,26,12,302,237,10073,240,62,1,-9999,0
1912,8,27,6,270,226,10069,20,216,1,-9999,0
1912,8,27,9,298,232,10073,240,72,0,-9999,-9999
1912,8,27,12,306,235,10065,240,62,0,-9999,0
1912,8,27,15,294,240,10060,240,72,0,-9999,-9999
1912,8,28,6,276,204,10069,240,51,3,-9999,0
1912,8,28,9,302,227,10073,260,98,1,-9999,-9999
1912,8,28,12,300,234,10064,240,87,2,-9999,0
1912,8,29,6,280,181,10086,220,41,1,-9999,0
1912,8,29,9,290,200,10090,240,82,1,-9999,-9999
1912,8,29,12,290,207,10086,240,72,3,-9999,0
1912,8,29,15,280,214,10084,240,51,6,-9999,-9999
1912,8,30,6,272,209,10096,280,10,2,-9999,0
1912,8,30,9,286,219,10094,280,31,1,-9999,-9999
1912,8,30,12,290,220,10088,280,31,1,-9999,0
1912,8,30,15,282,221,10085,280,21,1,-9999,-9999
1912,8,31,6,270,216,10092,60,31,0,-9999,0
1912,8,31,9,290,224,10093,240,41,0,-9999,-9999
1912,8,31,12,298,235,10085,240,51,1,-9999,0
1912,9,1,6,274,202,10070,240,31,0,-9999,0
1912,9,1,9,296,239,10076,240,87,2,-9999,-9999
1912,9,1,12,274,202,10070,240,31,0,-9999,0
1912,9,1,14,306,235,10070,240,72,1,-9999,0
1912,9,1,15,294,228,10065,240,51,1,-9999,-9999
1912,9,2,6,210,112,10115,0,0,0,-9999,0
1912,9,2,9,304,229,10065,240,87,1,-9999,-9999
1912,9,2,12,304,232,10064,240,98,1,-9999,0
